Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
24614393,WHOSIS_000001,COUNTRY,AGO,YEAR,AFR,Africa,SEX,BTSX,2000,,,,,,,49.3,49.30265,,,,2020-12-04T16:59:45.47+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614397,WHOSIS_000001,COUNTRY,AGO,YEAR,AFR,Africa,SEX,BTSX,2010,,,,,,,58.1,58.06943,,,,2020-12-04T16:59:45.563+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614401,WHOSIS_000001,COUNTRY,AGO,YEAR,AFR,Africa,SEX,BTSX,2015,,,,,,,61.7,61.71907,,,,2020-12-04T16:59:45.66+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614405,WHOSIS_000001,COUNTRY,AGO,YEAR,AFR,Africa,SEX,BTSX,2019,,,,,,,63.1,63.06044,,,,2020-12-04T16:59:45.753+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614409,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,MLE,2000,,,,,,,70.7,70.65347,,,,2020-12-04T16:59:45.877+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614413,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,MLE,2010,,,,,,,74.2,74.23331,,,,2020-12-04T16:59:45.957+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614417,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,MLE,2015,,,,,,,76.1,76.1022,,,,2020-12-04T16:59:46.08+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614421,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,MLE,2019,,,,,,,76.3,76.25368,,,,2020-12-04T16:59:46.16+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614425,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,FMLE,2000,,,,,,,76.9,76.91914,,,,2020-12-04T16:59:46.27+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614429,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,FMLE,2010,,,,,,,78.3,78.31106,,,,2020-12-04T16:59:46.363+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614433,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,FMLE,2015,,,,,,,79.7,79.68682,,,,2020-12-04T16:59:46.487+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614437,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,FMLE,2019,,,,,,,79.9,79.90692,,,,2020-12-04T16:59:46.55+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614441,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,BTSX,2000,,,,,,,73.5,73.54528,,,,2020-12-04T16:59:46.643+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
